,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_GPT,word_count,similarity
965,bookshelf,'A piece of furniture almost always with horizontal shelves used to store books.','a shelf that you keep books on',13,7,A place to put books on,6,0.75873613
966,bookcase,'A piece of furniture almost always with horizontal shelves used to store books.','a piece of furniture with shelves for keeping books on',13,10,A place with shelves to keep books,7,0.8235035
967,Helena,'The capital of the state of Montana.','(1871-1965) a US businesswoman born in Poland who created the famous cosmetics company that carries her name. She began her business in 1902 in Australia and later opened salons (= places for beauty treatments) in London Paris and New York. Her business became a large international company after the First World War. She started the Helena Rubinstein Foundation which gives money for educational projects especially for women and children in New York.',7,72, A woman named Helena Rubinstein was born in Poland and made a famous makeup company She began her business in 1902 in Australia then opened beauty places in London Paris and New York Her company grew big after the First World War She started a foundation in New York to help with school projects for women and children,58,0.9288511
968,parabola,'A conic section generated by the intersection of a right circular conical surface and a plane parallel to a generating straight line of that surface.','a curve like the path of an object thrown into the air and falling back to earth',25,17,A curved line like a ball tossed up high and coming back down,13,0.8204731
969,mathematical,'Of or relating to mathematics.','connected with or involving mathematics',5,5,About using numbers,3,0.61779493
970,conical,'Of relating to or in the shape of a cone.','having the shape of a cone',10,6,It looks like a pointy hat,6,0.66948545
971,renown,'The state or quality of having a positive reputation.','the state of being famous and receiving respect because of something you have done that people admire',9,17,Being wellknown and liked because you did something good,9,0.7367703
972,zeitgeist,'The spirit characteristic of an age or generation.','the general mood or quality of a particular period of history as shown by the ideas beliefs etc. common at the time',8,22,The way people felt and thought in a certain time long ago,12,0.69864297
973,thulium,'Chemical element with symbol Tm and atomic number 69 silvery white lanthanide.','a chemical element. Thulium is a soft silver-white metal.',12,9,Thulium is a soft shiny silver metal,7,0.77094126
974,acacia,'A shrub or tree of a species that belongs to the genus Acacia.','a tree with yellow or white flowers. There are several types of acacia tree some of which produce a sticky liquid used in making glue.',13,25,A tree with yellow or white flowers can make sticky stuff for glue,13,0.81598747
975,accomplice,'An associate in the commission of a crime.','a person who helps another to commit a crime or to do something wrong',8,14,Someone who helps another person do something bad,8,0.8463204
976,antiparticle,'Particle having the same mass spin isospin as a particle but having all additive quantum numbers opposite to those of its respective particle.','a very small part of an atom that has the same mass as a normal particle but the opposite electrical charge',23,21,A tiny piece of an atom that is like a regular bit but with the opposite charge,17,0.8777237
977,altruism,'The unselfish concern for the welfare of others.','the fact of caring about the needs and happiness of other people and being willing to do things to help them even if it brings no advantage to yourself',8,29,Caring about others and helping them even if it doesnt help you,12,0.8067428
978,altruistic,'Not selfish concerned for the welfare of others.','caring about the needs and happiness of other people and being willing to do things to help them even if it brings no advantage to yourself',8,26,Helping others and making them happy even if you get nothing in return,13,0.8415268
979,subtraction,'An elementary arithmetic operation that is the opposite of addition.','the process of taking a number or amount away from another number or amount',10,14,Taking one number away from another,6,0.7427517
980,archeologist,'Someone who studies or works in archeology.','a person who studies archeology',7,5,Someone who learns about old things people used,8,0.68033206
